symbol,signal,entry_ts,entry_px,exit_ts,exit_px,exit_reason,return_pct,shares,alloc,pyramided,pyr_shares,pyr_alloc,pyr_px,total_shares,total_invested,pnl,cum_pnl,closed
UNH,ema_cross,2024-11-08,587.524247576363,2024-12-12,514.7529402648519,ema_cross,-12.39,4.084937787504782,2400.0,False,0.0,0.0,,4.084937787504782,2400.0,-298.10735657768134,-298.11,True
COST,rsi_macd,2025-01-13,927.8839009408457,2025-01-17,923.9100722017832,ema_cross,-0.43,2.6899371155193936,2495.9493440337014,False,0.0,0.0,,2.6899371155193936,2495.9493440337014,-11.683453413769264,-309.79,True
NOW,rsi_macd,2025-01-16,211.70799999999997,2025-02-12,199.24999999999997,ema_cross,-5.88,12.96665655781561,2745.1449265420265,False,0.0,0.0,,12.96665655781561,2745.1449265420265,-162.5720499249247,-472.36,True
BAC,ema_cross,2025-01-08,44.60882038519801,2025-03-05,41.45027335067392,ema_cross,-7.08,52.460175106109254,2340.1865286844636,False,0.0,0.0,,52.460175106109254,2340.1865286844636,-166.56772595128476,-638.93,True
DIS,rsi_macd,2025-01-24,109.94413794579172,2025-03-10,103.287733556461,ema_cross,-6.05,28.810812951530345,3167.579993473455,False,0.0,0.0,,28.810812951530345,3167.579993473455,-192.966743219426,-831.9,True
JPM,rsi_macd,2025-03-03,258.6954861484153,2025-03-12,229.29833523475207,ema_cross,-11.36,10.431417704916116,2698.560674390461,False,0.0,0.0,,10.431417704916116,2698.560674390461,-307.61072320042757,-1139.51,True
NFLX,rsi_macd,2025-01-22,99.80250000000001,2025-04-07,82.78449046074803,ema_cross,-17.05,26.45579107722694,2640.354088984942,False,0.0,0.0,,26.45579107722694,2640.354088984942,-451.10095659433097,-1590.61,True
UBER,ema_cross,2025-03-24,76.97,2025-04-08,69.31,ema_cross,-9.95,28.453484902360575,2190.0647329346934,False,0.0,0.0,,28.453484902360575,2190.0647329346934,-218.74253876751484,-1809.35,True
MA,rsi_macd,2025-07-01,556.9911262854006,2025-07-17,551.4226070373104,ema_cross,-1.0,3.899565302890995,2172.0232700807246,False,0.0,0.0,,3.899565302890995,2172.0232700807246,-22.574927834586283,-1831.93,True
V,rsi_macd,2025-06-25,348.41597707524767,2025-08-01,342.10283082363344,ema_cross,-1.81,5.8449542995761785,2036.4754632470042,False,0.0,0.0,,5.8449542995761785,2036.4754632470042,-37.69988149199372,-1869.63,True
PFE,rsi_macd,2025-08-06,23.85337985791893,2025-09-23,23.292804807293827,ema_cross,-2.35,84.85522108562151,2024.083821483022,False,0.0,0.0,,84.85522108562151,2024.083821483022,-48.35832629652756,-1917.98,True
AAPL,ema_cross,2025-08-07,218.21598872880972,2026-01-14,259.24743933682106,ema_cross,18.8,9.892981963497698,2158.8068406409316,True,7.6972995169267255,1975.4411058636886,256.6408,17.590281480424423,4134.24794650462,424.1633903369117,-1493.82,True
TSLA,rsi_macd,2026-01-23,447.43,2026-01-30,425.35,ema_cross,-4.93,4.074488666740439,1823.048464159675,False,0.0,0.0,,4.074488666740439,1823.048464159675,-90.65794326338813,-1584.48,True
WFC,rsi_macd,2026-01-30,89.76876952149408,2026-02-23,88.17,ema_cross,-1.78,7.714473497783689,692.5187934022182,False,0.0,0.0,,7.714473497783689,692.5187934022182,-12.60573915395017,-1597.08,True
GOOGL,rsi_macd,2026-02-23,318.8255823461427,2026-03-04,302.6769687988652,ema_cross,-5.07,2.22637333894676,709.8247763096269,False,0.0,0.0,,2.22637333894676,709.8247763096269,-36.222391436072,-1633.31,True
MU,ema_cross,2025-08-12,124.57163953033267,2026-03-16,446.16,end_of_data,258.16,19.06005351268079,2374.3421156105223,True,4.726744719703522,710.9733070142051,150.415,23.78679823238431,3085.3154226247275,7523.157389576113,5889.85,False
CSCO,rsi_macd,2025-08-27,67.5484551724138,2026-03-16,78.92,end_of_data,16.83,42.16899915749537,2848.4507492556313,True,34.74635837384148,2733.843476853848,78.68,76.91535753133685,5582.2942261094795,485.43772625707584,6375.29,False
GE,rsi_macd,2026-02-02,305.15542431408124,2026-03-16,303.77,end_of_data,-0.45,2.722550149440146,830.8009460687731,False,0.0,0.0,,2.722550149440146,830.8009460687731,-4.102698796898192,6371.19,False
