entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2016-06-20,2016-07-01,AMD,stock,5.4,5.12,,1000.0,185.3434,-50.95,-5.1,9,0.11,trailing_stop
2016-06-20,2016-07-15,EQIX,stock,314.09,314.09,,1000.0,3.1838,-0.0,-0.0,18,0.87,trailing_stop
2016-06-22,2016-07-25,GE,stock,133.27,135.68,,1000.0,7.5034,18.05,1.81,22,2.47,trailing_stop
2016-06-27,2016-12-20,FMG.AX,stock,1.25,2.26,,1000.0,802.2302,811.57,81.16,126,11.59,trailing_stop
2016-06-29,2016-07-21,AEP,stock,48.91,48.91,,1000.0,20.4447,-0.0,-0.0,15,1.21,trailing_stop
2016-06-30,2016-07-13,BATS.L,stock,4668.29,4668.28,,1000.0,0.2142,-0.0,-0.0,9,1.32,trailing_stop
2016-06-30,2016-07-14,UNG,stock,136.94,129.96,,1000.0,7.3026,-50.95,-5.1,9,0.66,trailing_stop
2016-06-30,2016-07-27,CPER,stock,14.39,14.39,,1000.0,69.4716,-0.0,-0.0,18,1.69,trailing_stop
2016-06-30,2016-08-04,ULVR.L,stock,3692.37,3692.36,,1000.0,0.2708,-0.0,-0.0,25,1.3,trailing_stop
2016-06-30,2016-09-09,EMB,stock,72.06,73.87,,1000.0,13.8774,25.11,2.51,49,3.4,trailing_stop
2016-07-01,2016-07-15,DGE.L,stock,2082.37,2082.37,,995.0,0.4778,-0.0,-0.0,10,0.61,trailing_stop
2016-07-13,2016-09-13,PICK,stock,14.98,14.22,,995.0,66.3937,-50.69,-5.1,43,0.68,trailing_stop
2016-07-14,2016-10-19,INTC,stock,28.28,29.32,,990.0,35.0025,36.64,3.7,68,2.3,trailing_stop
2016-07-15,2016-08-02,GS,stock,133.28,127.11,,990.0,7.4265,-45.84,-4.63,12,0.04,trailing_stop
2016-07-15,2016-10-21,UNP,stock,76.63,72.72,,990.0,12.9174,-50.43,-5.1,69,0.97,trailing_stop
2016-07-21,2016-08-17,ASML,stock,96.43,96.43,,990.0,10.2643,-0.0,-0.0,19,1.17,trailing_stop
2016-07-25,2016-08-11,CBA.AX,stock,50.28,49.11,,992.0,19.7234,-22.91,-2.31,13,0.5,trailing_stop
2016-07-28,2016-09-29,VLO,stock,35.66,36.42,,992.0,27.8075,21.24,2.14,44,2.12,trailing_stop
2016-08-02,2016-08-15,PPLT,stock,113.22,107.64,,987.0,8.7176,-48.65,-4.93,9,0.02,trailing_stop
2016-08-04,2016-09-14,9984.T,stock,695.21,758.77,,987.0,1.4198,90.24,9.14,28,2.4,trailing_stop
2016-08-11,2016-10-11,CHTR,stock,253.46,259.86,,985.0,3.8851,24.87,2.53,42,2.1,trailing_stop
2016-08-15,2016-11-01,DG.PA,option_eu,4.09,1.02,48.73,1372.0,3.36,-1027.82,-74.92,56,0.0,dte_exit
2016-08-17,2016-11-01,AVGO,option_us,1.1,0.64,12.59,1372.0,12.47,-574.23,-41.86,53,0.2,dte_exit
2016-09-09,2016-10-04,CCI,stock,64.64,61.35,,982.0,15.1979,-50.05,-5.1,17,0.0,trailing_stop
2016-09-26,2016-10-07,CPER,stock,14.5,14.4,,986.0,68.0025,-6.92,-0.7,9,0.0,trailing_stop
2016-09-26,2016-12-06,IFX.DE,option_eu,1.18,1.36,13.2,1381.0,11.68,213.09,15.43,50,0.69,dte_exit
2016-09-30,2016-10-25,CAT,stock,70.99,68.4,,988.0,13.9232,-36.11,-3.65,17,0.42,trailing_stop
2016-10-04,2016-11-03,TEL2-B.ST,stock,37.51,37.51,,983.0,26.216,-0.0,-0.0,22,1.88,trailing_stop
2016-10-12,2016-10-26,USO,stock,91.77,88.23,,985.0,10.7359,-38.01,-3.86,10,0.29,trailing_stop
2016-10-12,2016-11-09,6501.T,stock,435.76,435.76,,985.0,2.261,-0.0,-0.0,19,1.48,trailing_stop
2016-11-11,2016-11-25,BLK,stock,294.22,294.22,,816.0,2.7743,-0.0,-0.0,9,0.16,trailing_stop
2016-11-11,2016-11-28,CRH,stock,27.28,25.89,,816.0,29.9215,-41.59,-5.1,10,0.0,trailing_stop
2016-11-11,2016-12-01,RTX,stock,54.53,54.53,,816.0,14.969,-0.0,-0.0,13,0.41,trailing_stop
2016-11-11,2016-12-02,CHTR,stock,269.34,269.34,,816.0,3.0306,-0.0,-0.0,14,0.56,trailing_stop
2016-11-11,2016-12-15,CAT,stock,76.02,76.02,,816.0,10.7379,-0.0,-0.0,23,0.79,trailing_stop
