#,Symbol,Signal,Entry,Exit,Reason,Alloc_EUR,Pyr_EUR,Ret%,PnL_EUR,PnL_Pyr_EUR,Hold_d,W/L
1,V,ema_cross,2016-03-21,2016-06-27,ema_cross,2400,0,-0.1,-4,0,98,L
2,AIR.PA,rsi_macd,2016-04-14,2016-07-07,grace_exit,2816,0,-12.4,-350,0,84,L
3,NKE,rsi_macd,2016-06-30,2016-07-29,ema_cross,2593,0,0.4,10,0,29,W
4,XLU,rsi_macd,2016-04-28,2016-08-24,ema_cross,3379,0,5.8,197,0,118,W
5,IEF,ema_cross,2016-03-30,2016-09-13,ema_cross,2560,0,1.6,42,0,167,W
6,AVGO,rsi_macd,2016-09-15,2016-11-17,ema_cross,2757,0,-1.4,-37,0,63,L
7,CRM,rsi_macd,2016-08-26,2016-11-25,ema_cross,3377,0,-8.3,-280,0,91,L
8,AAPL,rsi_macd,2016-11-17,2016-12-01,ema_cross,2204,0,-0.3,-6,0,14,L
9,USO,ema_cross,2016-12-02,2017-03-08,ema_cross,2338,0,-6.4,-150,0,96,L
10,NKE,ema_cross,2016-12-09,2017-05-03,ema_cross,2806,0,5.7,159,0,145,W
11,NFLX,rsi_macd,2016-07-27,2017-07-05,ema_cross,2491,655,57.0,1793,266,343,W
12,NFLX,ema_cross,2016-08-08,2017-07-05,ema_cross,2581,0,53.9,1390,0,331,W
13,QCOM,rsi_macd,2017-05-04,2017-07-05,ema_cross,2395,0,2.3,55,0,62,W
14,TSLA,rsi_macd,2017-03-15,2017-08-02,ema_cross,2312,549,23.5,673,54,140,W
15,PEP,rsi_macd,2017-07-10,2017-09-19,ema_cross,3189,0,-0.5,-17,0,71,L
16,TLT,rsi_macd,2017-07-19,2017-10-05,ema_cross,3508,0,-0.1,-2,0,78,L
17,DTE.DE,rsi_macd,2017-09-20,2017-10-17,ema_cross,3271,0,-2.1,-67,0,27,L
18,SLV,ema_cross,2017-10-17,2017-10-18,ema_cross,3255,0,-0.3,-10,0,1,L
19,PG,ema_cross,2017-07-21,2017-10-24,ema_cross,4210,0,-0.6,-25,0,95,L
20,TSLA,ema_cross,2017-08-07,2017-10-24,ema_cross,3669,0,-5.6,-205,0,78,L
21,SIE.DE,ema_cross,2017-10-30,2017-11-21,ema_cross,4061,0,-4.9,-199,0,22,L
22,LLY,ema_cross,2017-11-28,2018-02-02,ema_cross,3902,0,-4.6,-178,0,66,L
23,XLP,rsi_macd,2017-10-06,2018-02-12,ema_cross,3459,0,1.1,37,0,129,W
24,UNH,ema_cross,2017-10-18,2018-03-22,ema_cross,3247,0,6.3,205,0,155,W
25,IWM,rsi_macd,2018-02-15,2018-04-02,ema_cross,3489,0,-2.5,-86,0,46,L
26,GLD,ema_cross,2018-03-26,2018-05-01,ema_cross,3459,0,-3.4,-117,0,36,L
27,CSCO,rsi_macd,2018-02-13,2018-06-25,ema_cross,2908,797,2.4,87,-66,132,W
28,USO,rsi_macd,2018-06-25,2018-08-17,ema_cross,3067,0,-2.3,-70,0,53,L
29,NFLX,rsi_macd,2018-08-27,2018-10-11,ema_cross,2428,0,-12.5,-304,0,45,L
30,NKE,ema_cross,2017-10-26,2018-10-15,ema_cross,3384,927,33.0,1422,161,354,W
31,COST,rsi_macd,2018-10-15,2018-10-26,ema_cross,3386,0,-3.6,-121,0,11,L
32,UNH,rsi_macd,2018-04-04,2018-11-02,ema_cross,3414,0,19.1,652,0,212,W
33,AAPL,rsi_macd,2018-05-02,2018-11-06,ema_cross,3356,728,14.4,589,14,188,W
34,ABBV,rsi_macd,2018-11-08,2019-01-14,ema_cross,3472,0,-1.5,-53,0,67,L
35,WFC,rsi_macd,2018-10-17,2019-01-15,grace_exit,4063,0,-10.3,-417,0,90,L
36,QCOM,rsi_macd,2018-11-30,2019-03-01,grace_exit,4583,0,-5.9,-270,0,91,L
37,GLD,rsi_macd,2019-03-11,2019-04-15,ema_cross,1612,0,-0.8,-12,0,35,L
38,JNJ,ema_cross,2019-04-18,2019-05-30,ema_cross,1296,0,-4.5,-59,0,42,L
39,DTE.DE,rsi_macd,2019-02-06,2019-07-22,ema_cross,3941,0,6.3,249,0,166,W
40,OR.PA,rsi_macd,2019-01-21,2019-08-05,ema_cross,3284,3284,10.3,678,101,196,W
41,XLY,rsi_macd,2019-08-09,2019-08-15,ema_cross,5518,0,-3.7,-207,0,6,L
42,AMD,rsi_macd,2018-11-28,2019-09-10,ema_cross,3819,383,36.3,1526,54,286,W
43,GS,ema_cross,2019-09-10,2019-10-07,ema_cross,5653,0,-6.1,-347,0,27,L
44,SLV,rsi_macd,2019-06-04,2019-11-12,ema_cross,1249,1249,6.6,166,-5,161,W
45,TLT,rsi_macd,2019-11-15,2019-12-09,ema_cross,3205,0,1.0,33,0,24,W
46,WMT,rsi_macd,2019-08-16,2020-01-10,ema_cross,5353,0,2.5,132,0,147,W
47,SIE.DE,rsi_macd,2019-07-24,2020-02-14,ema_cross,3601,0,8.5,305,0,205,W
